S5A,STA1W,WCA1ME,1-8C,S6,S39
0,0,0,0,0,0.01
0,0,0,0,0,0.02
0.2,0.17,0,0.01,0.01,0.01
0.48,0.26,0.01,0.02,0.26,0.01
0,0,0,0,0.01,0.01
0.2,0.54,0.26,0.25,0.19,0.36
0,0,0,0,0,0.01
0,0,0,0,0,0.02
1.08,0.62,0.16,0.48,0.19,2.31
1.53,1.88,2.21,1.35,1.78,1.36
0,0,0,0,0.01,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0.01
0,0,0,0,0.01,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0,0,0,0.01,0.11
0,0.01,0.01,0.13,0.2,0.04
0,0.01,1.06,0.31,0.05,0.72
0,0,0.02,0.07,0,0.01
0.36,0.12,0.71,0.49,0.1,
0,0,0.09,0.23,0,0
0,0,0,0,0.01,0.03
0.01,0,0.27,0.73,0.02,0.36
0,0,0,0,0,0.01
0,0,0,0.07,0,0
0,0,0.01,0.01,0,0.02
0,0.03,0,0,0.08,0.28
0,0,0,0,0.01,0.02
0,0,0,0,0,0
0,0,0,0,0.01,0.01
0.05,0,1.27,0.09,0.05,0
0,0,0,0,0.02,0.01
0,0,0.02,0.11,0,0.02
0,0,0,0,0,0.01
0,0,0,0.38,0,0.17
0,0,0,0,0.01,0.01
0,0,0,0,0,0.01
0.42,0,0,0,0.07,0
0,0.15,0.03,0.54,1.99,0.29
0.45,0.41,0.02,0.32,2.58,0.1
0,0,0,0,0.01,0.01
0,0,0,0.02,0,0.01
0,0,0,0,0,0
0,0,0,0,0.01,0.01
0,0,0,0,0,0.01
0.39,0.35,0.24,0.89,0.09,0.07
0.2,0.02,0.08,0.07,0.12,0.22
4.21,0.83,2.2,1.5,0.76,0.36
0.28,0.19,0.91,0.11,0.91,0.02
0.01,0,0.21,0.74,0.01,0.16
0.02,0.04,0.92,0.42,0.02,1.33
0,0.03,0,0,0,0.03
0,0.23,0.18,0.01,0.11,0.14
0.05,0.02,0.08,0.13,0.07,0.05
0.04,0,0,0.08,0.01,0.04
